,Unnamed: 0,id,offense_type,year,month,day_of_Week,ucr_oart,lat,long,location,street,date,neighborhoods
26,26,120426141,SIMPLE ASSAULT,2012,7,Sunday,Part Two,770977.0295,2947005.207,"(42.33394861, -71.07537988)",NORTHAMPTON ST,7/8/2012 11:00,Roxbury
27,27,120420132,RESIDENTIAL BURGLARY,2012,7,Sunday,Part One,765792.0983,2930285.392,"(42.28813781, -71.0948495)",CATBIRD COURT,7/8/2012 11:00,Mattapan
28,28,120419472,VAL,2012,7,Sunday,Part Two,771103.6662,2935170.295,"(42.30147136, -71.07512956)",BULLARD ST,7/8/2012 11:09,Dorchester
29,29,120419650,PersLoc,2012,7,Sunday,Part Three,762033.1228,2921850.994,"(42.26504136, -71.10888455)",ANDRIA RD,7/8/2012 11:10,Hyde Park
30,30,120419529,VAL,2012,7,Sunday,Part Two,773368.3558,2935894.139,"(42.30342636, -71.06674457)",HOMES AV,7/8/2012 11:30,Dorchester
31,31,120419534,VAL,2012,7,Sunday,Part Two,760133.3603,2922658.665,"(42.26728137, -71.11588955)",BRADLEE ST,7/8/2012 11:51,Hyde Park
32,32,120419541,MedAssist,2012,7,Sunday,Part Three,770446.8849,2937394.604,"(42.30758393, -71.07751662)",STANWOOD ST,7/8/2012 11:59,Dorchester
33,33,120420216,PropLost,2012,7,Sunday,Part Three,766946.5418,2937782.313,"(42.30869467, -71.09044998)",SEAVER ST,7/8/2012 12:00,Roxbury
34,34,120423615,PropLost,2012,7,Sunday,Part Three,770528.8857,2949062.99,"(42.33960135, -71.07699955)",W CONCORD ST,7/8/2012 12:00,South End
35,35,120444955,OTHER LARCENY,2012,7,Sunday,Part One,762261.1358,2946131.747,"(42.33166635, -71.10762954)",HILLSIDE ST,7/8/2012 12:00,Mission Hill
36,36,120447702,PropLost,2012,7,Sunday,Part Three,766334.4984,2945475.4,"(42.3298129, -71.0925768)",CENTRE ST,7/8/2012 12:00,Roxbury
37,37,120422849,AUTO THEFT,2012,7,Sunday,Part One,779941.0237,2946403.889,"(42.33217135, -71.04223957)",E 7TH ST,7/8/2012 12:00,South Boston
38,38,120492013,PropLost,2012,7,Sunday,Part Three,,,"(0.0, 0.0)",DORCHESTER AV,7/8/2012 12:00,
39,39,120419586,DRUG CHARGES,2012,7,Sunday,Part Two,776551.5679,2949714.607,"(42.34130529, -71.0547108)",W BROADWAY,7/8/2012 12:15,South Boston
40,40,120427046,OTHER LARCENY,2012,7,Sunday,Part One,775063.1785,2932477.218,"(42.29402635, -71.06054456)",CENTRE ST,7/8/2012 12:22,Dorchester
41,41,120419578,VAL,2012,7,Sunday,Part Two,776993.0581,2958600.324,"(42.36568154, -71.05290553)",HANOVER ST,7/8/2012 12:24,North End
