,neighborhood,time,value,category
351,Mission Hill,1980.0,1520.0,Bachelor's Degree or Higher
352,Mission Hill,1990.0,2676.0,less than High School
353,Mission Hill,1990.0,2219.0,High School or GED
354,Mission Hill,1990.0,1745.0,Some College or Associate's Degree
355,Mission Hill,1990.0,2563.0,Bachelor's Degree or Higher
356,Mission Hill,2000.0,1940.0,less than High School
357,Mission Hill,2000.0,1616.0,High School or GED
358,Mission Hill,2000.0,1571.0,Some College or Associate's Degree
359,Mission Hill,2000.0,3453.0,Bachelor's Degree or Higher
360,North End,1950.0,7870.0,less than High School
361,North End,1950.0,1097.0,High School or GED
362,North End,1950.0,167.0,Some College or Associate's Degree
363,North End,1950.0,207.0,Bachelor's Degree or Higher
364,North End,1960.0,6482.0,less than High School
365,North End,1960.0,1294.0,High School or GED
366,North End,1960.0,208.0,Some College or Associate's Degree
367,North End,1960.0,222.0,Bachelor's Degree or Higher
368,North End,1970.0,5029.0,less than High School
369,North End,1970.0,1126.0,High School or GED
370,North End,1970.0,253.0,Some College or Associate's Degree
371,North End,1970.0,271.0,Bachelor's Degree or Higher
372,North End,1980.0,2699.0,less than High School
373,North End,1980.0,1448.0,High School or GED
374,North End,1980.0,475.0,Some College or Associate's Degree
375,North End,1980.0,1313.0,Bachelor's Degree or Higher
376,North End,1990.0,1627.0,less than High School
377,North End,1990.0,1104.0,High School or GED
378,North End,1990.0,1072.0,Some College or Associate's Degree
379,North End,1990.0,2420.0,Bachelor's Degree or Higher
380,North End,2000.0,783.0,less than High School
381,North End,2000.0,882.0,High School or GED
382,North End,2000.0,880.0,Some College or Associate's Degree
383,North End,2000.0,4092.0,Bachelor's Degree or Higher
384,Roslindale,1950.0,8638.0,less than High School
385,Roslindale,1950.0,6707.0,High School or GED
386,Roslindale,1950.0,1479.0,Some College or Associate's Degree
387,Roslindale,1950.0,1257.0,Bachelor's Degree or Higher
388,Roslindale,1960.0,8259.0,less than High School
389,Roslindale,1960.0,6461.0,High School or GED
390,Roslindale,1960.0,1727.0,Some College or Associate's Degree
391,Roslindale,1960.0,1276.0,Bachelor's Degree or Higher
392,Roslindale,1970.0,7656.0,less than High School
393,Roslindale,1970.0,7863.0,High School or GED
394,Roslindale,1970.0,1607.0,Some College or Associate's Degree
395,Roslindale,1970.0,1566.0,Bachelor's Degree or Higher
396,Roslindale,1980.0,5389.0,less than High School
397,Roslindale,1980.0,7553.0,High School or GED
398,Roslindale,1980.0,2100.0,Some College or Associate's Degree
399,Roslindale,1980.0,2373.0,Bachelor's Degree or Higher
400,Roslindale,1990.0,3850.0,less than High School
401,Roslindale,1990.0,6071.0,High School or GED
402,Roslindale,1990.0,4059.0,Some College or Associate's Degree
403,Roslindale,1990.0,4817.0,Bachelor's Degree or Higher
404,Roslindale,2000.0,3523.0,less than High School
405,Roslindale,2000.0,5277.0,High School or GED
406,Roslindale,2000.0,4393.0,Some College or Associate's Degree
407,Roslindale,2000.0,6422.0,Bachelor's Degree or Higher
408,Roxbury,1950.0,36634.0,less than High School
409,Roxbury,1950.0,15353.0,High School or GED
410,Roxbury,1950.0,2708.0,Some College or Associate's Degree
411,Roxbury,1950.0,2184.0,Bachelor's Degree or Higher
412,Roxbury,1960.0,27603.0,less than High School
413,Roxbury,1960.0,9621.0,High School or GED
414,Roxbury,1960.0,2205.0,Some College or Associate's Degree
415,Roxbury,1960.0,1603.0,Bachelor's Degree or Higher
416,Roxbury,1970.0,14587.0,less than High School
417,Roxbury,1970.0,7876.0,High School or GED
418,Roxbury,1970.0,1710.0,Some College or Associate's Degree
419,Roxbury,1970.0,995.0,Bachelor's Degree or Higher
420,Roxbury,1980.0,10487.0,less than High School
421,Roxbury,1980.0,8236.0,High School or GED
422,Roxbury,1980.0,2592.0,Some College or Associate's Degree
423,Roxbury,1980.0,1871.0,Bachelor's Degree or Higher
424,Roxbury,1990.0,10287.0,less than High School
425,Roxbury,1990.0,7164.0,High School or GED
426,Roxbury,1990.0,4950.0,Some College or Associate's Degree
427,Roxbury,1990.0,2765.0,Bachelor's Degree or Higher
428,Roxbury,2000.0,7889.0,less than High School
429,Roxbury,2000.0,7954.0,High School or GED
430,Roxbury,2000.0,5617.0,Some College or Associate's Degree
431,Roxbury,2000.0,3213.0,Bachelor's Degree or Higher
432,South Boston Waterfront,1950.0,920.0,less than High School
433,South Boston Waterfront,1950.0,272.0,High School or GED
434,South Boston Waterfront,1950.0,11.0,Some College or Associate's Degree
435,South Boston Waterfront,1950.0,16.0,Bachelor's Degree or Higher
436,South Boston Waterfront,1960.0,1038.0,less than High School
437,South Boston Waterfront,1960.0,466.0,High School or GED
438,South Boston Waterfront,1960.0,87.0,Some College or Associate's Degree
439,South Boston Waterfront,1960.0,85.0,Bachelor's Degree or Higher
440,South Boston Waterfront,1970.0,393.0,less than High School
441,South Boston Waterfront,1970.0,141.0,High School or GED
442,South Boston Waterfront,1970.0,11.0,Some College or Associate's Degree
443,South Boston Waterfront,1970.0,28.0,Bachelor's Degree or Higher
444,South Boston Waterfront,1980.0,180.0,less than High School
445,South Boston Waterfront,1980.0,153.0,High School or GED
446,South Boston Waterfront,1980.0,30.0,Some College or Associate's Degree
447,South Boston Waterfront,1980.0,6.0,Bachelor's Degree or Higher
448,South Boston Waterfront,1990.0,138.0,less than High School
449,South Boston Waterfront,1990.0,178.0,High School or GED
450,South Boston Waterfront,1990.0,217.0,Some College or Associate's Degree
451,South Boston Waterfront,1990.0,250.0,Bachelor's Degree or Higher
452,South Boston Waterfront,2000.0,153.0,less than High School
453,South Boston Waterfront,2000.0,213.0,High School or GED
454,South Boston Waterfront,2000.0,190.0,Some College or Associate's Degree
455,South Boston Waterfront,2000.0,431.0,Bachelor's Degree or Higher
456,South Boston,1950.0,18154.0,less than High School
457,South Boston,1950.0,8295.0,High School or GED
458,South Boston,1950.0,1447.0,Some College or Associate's Degree
459,South Boston,1950.0,974.0,Bachelor's Degree or Higher
460,South Boston,1960.0,15232.0,less than High School
461,South Boston,1960.0,7321.0,High School or GED
462,South Boston,1960.0,916.0,Some College or Associate's Degree
463,South Boston,1960.0,719.0,Bachelor's Degree or Higher
464,South Boston,1970.0,12063.0,less than High School
465,South Boston,1970.0,7372.0,High School or GED
466,South Boston,1970.0,955.0,Some College or Associate's Degree
467,South Boston,1970.0,972.0,Bachelor's Degree or Higher
468,South Boston,1980.0,7264.0,less than High School
469,South Boston,1980.0,8695.0,High School or GED
470,South Boston,1980.0,1701.0,Some College or Associate's Degree
471,South Boston,1980.0,1342.0,Bachelor's Degree or Higher
472,South Boston,1990.0,5043.0,less than High School
473,South Boston,1990.0,8205.0,High School or GED
474,South Boston,1990.0,3740.0,Some College or Associate's Degree
475,South Boston,1990.0,3144.0,Bachelor's Degree or Higher
476,South Boston,2000.0,3948.0,less than High School
477,South Boston,2000.0,6836.0,High School or GED
478,South Boston,2000.0,4312.0,Some College or Associate's Degree
479,South Boston,2000.0,5719.0,Bachelor's Degree or Higher
480,South End,1950.0,24591.0,less than High School
481,South End,1950.0,6270.0,High School or GED
482,South End,1950.0,1522.0,Some College or Associate's Degree
483,South End,1950.0,1371.0,Bachelor's Degree or Higher
484,South End,1960.0,16344.0,less than High School
